participant_id,qualtrics_id,treatment,enrolment,education,programming_experience,language_confidence,pretest_q1,pretest_q1_mark,pretest_q2,pretest_q2_mark,pretest_q3,pretest_q3_mark,pretest_q4,pretest_q4_mark,pretest_q5,pretest_q5_mark,warmup-p2-time_Page Submit,warmup-p2-q1,warmup-p2-q2,warmup-p3-time_Page Submit,warmup-p3-q1,WarmupQ3mark,code_explanation,code_explanation_confidence,EPE1,EPE2,EPE3,EPE4,EPE5,EPE6,EPE7,EPE8,EPE9,EPE10,EPE11,code_reading_time,code_trace_q1_time,code_trace_q1,code_trace_q1_mark,code_trace_q2_time,code_trace_q2,code_trace_q2_mark,code_trace_q3_time,code_trace_q3,code_trace_q3_mark,code_trace_q4_time,code_trace_q4,code_trace_q4_mark,code_trace_q5_time,code_trace_q5,code_trace_q5_mark,code_trace_q6_time,code_trace_q6,code_trace_q6_mark,code_understanding_time,code_understanding,code_understanding_comment,code_compare_time,code_compare_preference,code_compare_comments,post-comments,Q_TotalDuration
SFMF-Java-CS701-2023-0002,R_1i1XRZm4ABaaIqZ,WeatherSingle,COMPSCI 700,University courses only,MEDIUM,MEDIUM,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,80.089,The code returns a double value of sum of the value of numbers in an array that are less than or equal to 10.0 divided by the number of numbers in the array that are less than or equal to 10.0,High,32.143,2,1,"The code is designed to show average rain fall, number of rainy days, and average humidity during a given time period.",HIGH,1,1,1,0,0,0,0,0,0,0,1,90.924,61.534,"[1, 1, 3]",1,14.318,"[0, 0, 0]",1,31.254,"[1, 1, 2]",1,26.157,"[ [0,-999], [0,0], [1,2] ]",1,26.536,21-26,1,NA,NA,NA,10.967,NEUTRAL,NA,148.693,MULTIPLE,"Personally, the difficulty in understanding the code arises from lack of modularisation. Modularisation and clear naming of each methods make processing of the code more efficient.",NA,903
SFMF-Java-CS701-2023-0007,R_2cAWL1CsZs74YQM,WeatherSingle,COMPSCI 700,"University courses only,Self taught (writing code not just for course exercises)",LARGE,MEDIUM,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,113.922,this program is used to compute the mean of the numbers in the Array that are lower than 10,High,29.537,2,1,Calculated the average precipitation and humidity for rainy days after removing invalid data,HIGH,1,1,0,0,0,1,0,0,0,0,1,216.889,53.817,"[1, 1, 3]",1,27.746,"[0, 0, 0]",1,30.952,"[1, 1, 2]",1,13.787,"[ [0,-999], [0,0], [1,2] ]",1,36.225,21-26,1,NA,NA,NA,12.324,VERY-EASY,NA,48.602,NEITHER,NA,NA,1011
SFMF-Java-CS701-2023-0010,R_3J7XMEFwOtdjqWY,WeatherSingle,COMPSCI 700,"University courses only,Non university courses (formal exercises, e.g. high school, on-line courses)",SMALL,LOW,2,1,"10
9
8
7
6",1,3,1,false,1,Unsure,0,30.46,Calculate the average of all numbers <=10 in a list.,High,35.197,2,1,"Calculate the average rainfall, average humidity, and number of rainy days over a given period. A day is rainy if it has nonzero rainfall. -999 is a sentinel value; other negative values are invalid and ignored.",HIGH,1,1,1,0,1,1,0,0,0,1,0,146.69,33.762,"[1, 1, 3]",1,22.401,"[0, 0, 0]",1,24.445,"[1, 1, 2]",1,16.093,"[ [0,-999], [0,0], [1,2] ]",1,16.091,21-26,1,NA,NA,NA,139.584,NEUTRAL,High-level idea makes sense but I still need to read all the code carefully to find quirks like validation for >= 0. Nested datatype List<List<Integer>> was hard to process but the naming of variables like dailyData help to break it down.,246.252,NEITHER,"v1 comments and v2 method names play the same role and are equally effective for a process like this one where all steps follow each other linearly. Still difficult to find nontrivial behaviour. I needed a few seconds to identify the main method in v2 because expected something like main, not processData (I now notice that v1 uses processData too; I didn't realise because I didn't even read the method name in v1!).",I did an earlier version of this study in 747.,1274
SFMF-Java-CS701-2023-0018,R_3G96xZlJp5MSbIg,WeatherSingle,COMPSCI 700,Industry experience,TINY,LOW,A NullPointerException will be thrown,0,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,223.902,The program does have three functions. the sum function does sum of all the number in the array less or equal than 10 and count function counts how many numbers in the array less or equal to 10. The main function calculate the average of the number in the array which less or equal to 10 by using the sum(x)/count(x).,High,22.057,2,1,"The program does first read the data from the original data and remove all the invalid data from the original dataset. Then, it calculates the average rainforce and humanlity, and calculates the number of raining day by counting how many days have rainforce > 0. In the end, it returns these values into an single object.",HIGH,1,1,1,1,0,0,0,1,0,0,0,206.401,45.324,"[1, 1, 3]",1,53.119,"[0, 0, 0]",1,45.597,"[1, 1, 2]",1,114.406,"[ [0,-999], [0,0], [1,2] ]",1,30.918,21-26,1,NA,NA,NA,18.816,EASY,NA,66.786,NEITHER,NA,NA,1213
SFMF-Java-CS701-2023-0021,R_3R3kB6nLc91Iyv0,WeatherSingle,COMPSCI 700,"University courses only,Non university courses (formal exercises, e.g. high school, on-line courses),Self taught (writing code not just for course exercises)",MEDIUM,HIGH,2,1,"10
9
8
7
6",1,3,1,false,1,(nothing printed),0,111.762,"Given an int array, calculate the double average value of the number that are less than or equal to 10.0.",High,26.378,None,0,"getting the average rainfall(total rainfall / total days), average humidity(total humidity/ total days), and rain days(the days with rain fall) of an area",HIGH,1,1,1,0,0,0,0,0,0,1,0,228.804,40.292,"[1, 1, 3]",1,36.153,"[0, 0, 0]",1,87.432,"[1, 1, 2]",1,47.96,"[ [0,-999], [0,0], [1,2] ]",1,19.208,11-18,0,NA,NA,NA,78.191,EASY,"The code is modium length, both variable and method names are easy to be understood,  just need to take some times to read through",216.76,NEITHER,NA,NA,1541
SFMF-Java-CS701-2023-0027,R_1mFpYi8m4DdRFcB,WeatherSingle,OTHER 700,University courses only,NONE,VERY-LOW,2,1,Unsure,0,Unsure,0,Unsure,0,Unsure,0,94.958,The code prints out the average value for the given set of array. It calculates the sum at first then counts the number of elements and returns the average value,Medium,91.965,2,1,"The code is calculating the rainfall, humidity and rainy days.",LOW,0,0,1,0,0,0,0,0,0,0,1,152.035,315.835,"[1, 1, 1]",0,43.272,"[-3, -3, -3]",0,48.196,"[0, 0, 0]",0,22.037,"[ [0,0], [1,1], [1,-999] ]",0,28.56,11-18,0,NA,NA,NA,182.351,DIFFICULT,"The code is difficult because of following reason

Unusual way of using for loops
complex nested int list
doesn't specify what are integer inputs meant for",144.034,MULTIPLE,Provides a better way to identify which tasks are performed by just analyzing the main function.,NA,1631
SFMF-Java-CS701-2023-0033,R_20MslKKSM0UMCwK,WeatherSingle,SOFTENG 700,"Non university courses (formal exercises, e.g. high school, on-line courses),Self taught (writing code not just for course exercises),Significant own projects (beyond just learning a language),Industry experience",LARGE,VERY-HIGH,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,48.112,Compute the average under 10 (include 10),High,26.845,2,1,Compute the average rainfall and average humidity and count rain days,HIGH,1,1,1,0,0,0,0,0,0,0,0,207.658,17.429,"[1, 1, 3]",1,70.018,"[0, 0, 0]",1,263.189,"[1, 1, 2]",1,118.715,"[ [0,0], [-1,-1], [1,2] ]",0,52.986,21-26,1,NA,NA,NA,155.666,VERY-EASY,"I want the choice ""Very easy"" and ""Very difficult"". Because if my understanding is correct, the previous question should be included an error option. If the previous question does not have any error option, my understanding should misunderstanding.",91.992,MULTIPLE,It shows clear steps and easy to understand what it does.,"If adding an extra option is better. Such as ""There is no my answer, and Input my answer"". Allow us to doubt the question.",1902
SFMF-Java-CS701-2023-0038,R_3NzbItWfcworKcp,WeatherSingle,COMPSCI 700,"Self taught (writing code not just for course exercises),Open-source contributor",MEDIUM,MEDIUM,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,406.654,"The function calculate the average number of an int array in which the number is lower or equal 10. Get an array of numbers(int), if the array has no element, stop the function, else get the sum of the numbers in the array and after calculate the average number of the element numbers lower or equal 10, and return the result.",Medium,26.856,2,1,"The function get an array which include the average rain full, averageHumidity and rainyDays data.",MEDIUM,1,1,1,0,0,0,0,0,0,0,1,48.401,121.01,"[1, 1, 3]",1,72.481,"[-3, -3, 0]",0,67.682,"[0, 0, 0]",0,182.137,"[ [0,0], [1,1], [1,-999] ]",0,32.599,21-26,1,NA,NA,NA,20.56,NEUTRAL,NA,63.793,MULTIPLE,"tell what each function dose clearly, it has better comprehension",NA,1829
SFMF-Java-CS701-2023-0039,R_3PbjIx2bTtSV0ej,WeatherSingle,SOFTENG 700,Self taught (writing code not just for course exercises),MEDIUM,MEDIUM,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,221.457,"The code is to calculate the average value of a int list, which only consider the value in the list is >0 and <=10ã€‚There are two function supplied to calculate the sum and count the number that meet the requirement.",High,112.705,None,0,"That code compute the average of daily rainwater, humidity and rainy days from a list of data.",MEDIUM,1,1,1,0,0,0,0,0,0,0,1,370.552,60.145,"[1, 1, 3]",1,111.968,"[-3, -3, 2]",0,19.487,"[1, 1, 2]",1,43.763,"[ [0,-999], [0,0], [1,2] ]",1,48.682,11-18,0,NA,NA,NA,27.731,NEUTRAL,NA,165.465,MULTIPLE,Version 2 has more functions; their names give more information to help to understand.,This truly tests my short-term memory.,1884
SFMF-Java-CS701-2023-0040,R_2ZKZqRgAZw6kCQb,WeatherSingle,COMPSCI 700,University courses only,TINY,LOW,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,251.946,"The code is doing a calculation to get the mean, first we sum up all of the numbers, then we divide by the count of the number so that we can get the mean value of them when the number is less than or equal 10.",High,54.891,2,1,"Calculate the mean of rainy and humidity separately, and count the days are rainy, return average of rainy and humidity and days of rainy.",MEDIUM,1,1,1,0,0,0,0,0,0,0,0,29.481,55.314,"[1, 1, 1]",0,71.113,"[0, 0, 0]",1,96.387,"[1, 1, 2]",1,226.616,"[ [0,-999], [0,0], [1,2] ]",1,127.871,21-26,1,NA,NA,NA,12.597,NEUTRAL,NA,25.22,MULTIPLE,NA,NA,1691
SFMF-Java-CS701-2023-0042,R_31aPN5HtEz1T2l8,WeatherSingle,COMPSCI 700,"Self taught (writing code not just for course exercises),Significant own projects (beyond just learning a language)",LARGE,MEDIUM,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,77.661,Finding the mean of numbers that less or equals to 10 in an array.,High,37.308,Unsure,0,"Filtering invalid data from original data set. Then use valid data to compute the average rainfall, average humidity and rainfall days.",HIGH,1,1,1,1,0,1,0,0,0,0,0,234.125,71.179,"[1, 1, 3]",1,26.172,"[0, 0, 0]",1,121.458,"[1, 1, 2]",1,32.045,"[ [0,-999], [0,0], [1,2] ]",1,74.669,21-26,1,NA,NA,NA,36.839,VERY-EASY,Every step was well commented.,308.267,SINGLE,"More precise comments are easier to understand than methods' names. The namings of Version 2 are too abstract to understand. For example, it took more time to understand calling countPositive() is for counting rainy days.",The understanding of Version 1 may accelerate the understanding of Version 2. This may result in a different impression of Version 2 than Version 1. Is it possible to consider using similar logic but different scenarios to avoid this?,2070
SFMF-Java-CS701-2023-0044,R_2AQMW7g6u3vpLdq,WeatherSingle,COMPSCI 700,"University courses only,Non university courses (formal exercises, e.g. high school, on-line courses)",SMALL,LOW,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, -1, 2, -2, 3, -3]",0,107.661,The program is used to calculate the average of 10 or less in a list of int types,High,52.008,None,0,"Calculate the average rainfall, average humidity, and number of rainy days for a given weather data",HIGH,1,1,1,0,0,0,0,0,0,0,0,208.545,192.967,"[1, 1, 3]",1,56.311,"[0, 0, 0]",1,27.744,"[1, 1, 2]",1,61.742,"[ [0,-999], [0,0], [1,2] ]",1,33.494,21-26,1,NA,NA,NA,10.626,NEUTRAL,NA,306.788,MULTIPLE,"Version 2 calculates through multiple small functions, and updates the mental model more quickly through function names compared to annotations. Each function only does one thing, which also helps improve comprehensibility.",Can provide more code examples for investigation,2061
SFMF-Java-CS701-2023-0047,R_2WPjh5WZXK0PHpl,WeatherSingle,COMPSCI 700,"University courses only,Self taught (writing code not just for course exercises),Significant own projects (beyond just learning a language)",SMALL,MEDIUM,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,293,"Define a 'WarmUp' class and calculate the average of values in the numbers array that are less than or equal to 10, using the 'main' method.",Medium,65.464,2,1,The primary purpose of this Java class is to process and analyze meteorological data over a certain period. It offers a method to analyze and extract key statistical information from a specific weather dataset.,MEDIUM,0,0,0,0,0,0,0,0,1,1,1,124.336,71.559,"[1, 1, 3]",1,42.436,"[0, 0, 0]",1,59.876,"[1, 1, 2]",1,188.336,"[ [0,-999], [0,0], [1,2] ]",1,49.764,21-26,1,NA,NA,NA,31.677,NEUTRAL,NA,170.665,MULTIPLE,"Because it have a top-level function 'processData', and including every main function.",NA,1788
SFMF-Java-CS701-2023-0055,R_OPVt6bRzkq1Jb1L,WeatherSingle,COMPSCI 700,"University courses only,Non university courses (formal exercises, e.g. high school, on-line courses),Self taught (writing code not just for course exercises),Significant own projects (beyond just learning a language),Industry experience",NONE,LOW,2,1,"6
7
8
9
10",0,3,1,Unsure,0,Unsure,0,185.235,"We are trying to calculate the average/mean of numbers however, only the numbers which were less than or equal to 10 were considered.",High,45.819,2,1,"We are calculating averagerainfall, averagehumidity and averagedays it rains from a list of data of rain and humidity of different instances(can be of each day or each month).",MEDIUM,1,1,1,0,0,0,0,0,0,1,1,583.832,73.713,"[1, 1, 3]",1,13.916,"[0, 0, 0]",1,126.26,"[1, 1, 2]",1,60.778,"[ [0,0], [1,1], [1,-999] ]",0,27.37,21-26,1,NA,NA,NA,189.325,NEUTRAL,"I didnt have experience in Java so for me it was not easy to interpret the code due to not knowing about syntax and functions of Java . Since, I had experience in other different coding languages (python,c++, python played more role as it calls it's array as list), I was able to interpret what the code was trying to do and after reading the whole code I was able to interepret what the functions were trying to do.",160.014,SINGLE,one version took less effort as there were comments telling what it each section of code was trying to do and it felt like going in a sequence making it easier to comprehend.,NA,2155
SFMF-Java-CS701-2023-0056,R_1gMaWWNJXHWSpna,WeatherSingle,COMPSCI 700,"University courses only,Self taught (writing code not just for course exercises),Significant own projects (beyond just learning a language)",MEDIUM,MEDIUM,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,297.612,"One high-level function takes an array as the argument and returns a Double object. There are 2 following sub-functions called for getting the sum of the number in the array if the number is greater than or equal10, and also the count of the numbers greater or equal to 10. The first function returns the double object which is the result of the sum divided by the count getting from the sub-functions.",High,91.434,2,1,"The function uses the array list as the input and truncates and validates the data before getting the result. At last, the average rainfall, average humidity, and the number of rainy days are returned in an array.",HIGH,1,1,1,1,1,0,0,1,0,1,0,315.188,68.336,"[1, 1, 3]",1,120.714,"[0, 0, 0]",1,42.722,"[1, 1, 2]",1,52.476,"[ [0,-999], [0,0], [1,2] ]",1,58.449,21-26,1,NA,NA,NA,127.544,EASY,"Even though the code is not optimal for understanding, the statements/ word choice using the code makes the assimilation process more effective and efficient. The logic of the code is really straightforward accompanying with the comments.",151.419,SINGLE,"You do not have to update your mental model after each function is implemented. The process for getting the final result is really straightforward. However, in version 2, you have to check the different arguments in each function.","It is interesting that a large function for me is more effective to understand. Smaller functions actually take more effort. However, during our previous learning, we should assume that the small functions after breaking down should be better for developers to understand.",2307
SFMF-Java-CS701-2023-0059,R_2TzxVhaPnXvff8q,WeatherSingle,COMPSCI 700,University courses only,SMALL,MEDIUM,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,298.747,"The provided code analyzes an array of integers. It uses the main method to calculate and return the average of the numbers in the array that are less than or equal to 10. To do this, it employs the sumNumbers method to determine the sum of these numbers and the countNumbers method to determine how many of these numbers there are.",High,40.166,2,1,"The code processes a set of data, filtering for valid rainfall and humidity entries up to the END_OF_DATA marker. It calculates the average rainfall and humidity, counts the rainy days, and returns these statistics in an array.",MEDIUM,1,1,1,1,1,1,0,1,0,1,0,144.615,38.454,"[1, 1, 3]",1,26.507,"[0, 0, 0]",1,40.728,"[1, 1, 2]",1,218.206,"[ [0,-999], [0,0], [1,2] ]",1,48.538,21-26,1,NA,NA,NA,107.546,NEUTRAL,More detailed comments may better to understand and some variable names could be more descriptive.,285.222,MULTIPLE,"Version 2 breaks down the main method ""processData"" into some helper methods (truncateToEndOfData, getValidData, averageData, and countPositive). This makes more readable and would take less effort to understand.",This study is really interesting.,2030
SFMF-Java-CS701-2023-0003,R_uyoppg2FiqT70v7,WeatherMultiple,SOFTENG 700,"University courses only,Non university courses (formal exercises, e.g. high school, on-line courses),Self taught (writing code not just for course exercises),Significant own projects (beyond just learning a language)",SMALL,MEDIUM,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,41.028,"Finds the average of all numbers below or equal to 10 from a list of numbers, as if the other numbers didn't exist",High,20.195,2,1,Gets average rainfall and average humidity over a set of rainy days,MEDIUM,1,1,0,0,0,0,0,0,0,0,1,63.616,108.928,"[1, 1, 3]",1,5.239,"[0, 0, 0]",1,15.664,"[1, 1, 2]",1,16.5,"[ [0,-999], [0,0], [1,2] ]",1,15.216,33-41,1,NA,NA,NA,107.653,DIFFICULT,"It's intimidating with so many stacked arrow brackets and lots of jumping around. If I wasn't already familiar with the rainfall problem I would only have a very vague guess about what it does, though the double[] result definition goes a long way in figuring it out. Before that point though it's really hard, the names are really vague.",98.971,SINGLE,"The comments give context to what each block is doing, and all being in one big list rather than seperate functions means I'm not worried about if a function is re-used. I don't have to keep a block in my head after i've gone past it, and I don't need to read the code at all to get a high level understanding of the process.","I participated in the study in Compsci 747 in Semester 1 2023. I felt like I could rely on prior knowledge of the rainfall problem to do a lot of the heavy lifting in the exercise, but maybe that was the point :P",929
SFMF-Java-CS701-2023-0009,R_12DtxloP9ykv49R,WeatherMultiple,COMPSCI 700,"University courses only,Non university courses (formal exercises, e.g. high school, on-line courses),Self taught (writing code not just for course exercises),Significant own projects (beyond just learning a language),Industry experience,Open-source contributor",SMALL,LOW,2,1,"10
9
8
7
6",1,3,1,false,1,"[1, 2, 3]",1,35.696,"It returns the average value of numbers with a value less than or equal to 10.0, given an array of integers.",High,29.796,2,1,"Validates input data and calculates the average rainfall, humidity, and the total number of days which had any rainfall.",HIGH,1,1,1,1,0,0,0,0,0,0,0,174.778,51.655,"[1, 1, 3]",1,11.49,"[0, 0, 0]",1,12.917,"[1, 1, 2]",1,32.383,"[ [0,-999], [0,0], [1,2] ]",1,28.657,33-41,1,NA,NA,NA,127.729,EASY,"The use of raw List<Integer> rather than a data class adds complexity and clouds context schema with design schema, particularly with the use of constants for indexes to data. Additionally the name ""RAINFALL_POS"" is not entirely descriptive, and requires a thorough understanding of the code to interpret, whereas a name such as ""RAINFALL_INDEX"" would be much easier and faster to understand.",125.904,SINGLE,"The process is entirely linear; hence a single function is all that is required. Additionally, the removal of function names and parameters and return types reduces clutter significantly, whilst the addition of easily parse-able comments eases  the speed of understanding code blocks.","Several questions ask for data that is passed to the `main()` function, however the provided code implements a `processData()` function, and no `main()` function is present.",1328
